x,y,z,roll,pitch,yaw
"[6290.346720497994, -611.1290421687697, 4786.1709496909525, 0, 1.6960217082316902, 179.9736367791587]"
"[6090.689000417282, -611.311347085672, 4797.865460244595, 0, 3.352142529261317, 179.94768396926543]"
"[5891.349455322641, -611.2478380804914, 4814.105587339784, 0, 4.657581628617059, -179.9817457302159]"
"[5692.419507646092, -610.9431771498355, 4834.764316708331, 0, 5.928865143817073, -179.91225166413824]"
"[5493.9828633555935, -610.4014270578978, 4859.716364912115, 0, 7.1669102183921725, -179.84357769799834]"
"[5295.991896129302, -609.7549537972018, 4887.985764784076, 0, 8.125798788738742, -179.8129204665575]"
"[5098.489114837975, -609.0032845961962, 4919.483167464336, 0, 9.061063473217045, -179.78194097020219]"
"[4901.51347619494, -608.1453048496578, 4954.122186675673, 0, 9.9736409344857, -179.75043458248928]"
"[4705.100694802656, -607.1792195250406, 4991.8194808079115, 0, 10.864469521109339, -179.71818450418303]"
"[4509.283545362392, -606.1025048728084, 5032.494837851791, 0, 11.734494078864941, -179.68495821857044]"
"[4314.092159429619, -604.9118481278852, 5076.071267193341, 0, 12.584671667499096, -179.65050322333397]"
"[4119.786904771042, -603.4401764661025, 5123.434778408046, 0, 13.698785736536166, -179.56604898369076]"
"[3926.415612869838, -601.6860144706942, 5174.4687512511755, 0, 14.783650633306722, -179.48025727535634]"
"[3734.0211659244746, -599.6464569979211, 5229.060114944557, 0, 15.840290815547743, -179.3926349749962]"
"[3542.641932694115, -597.3169604309758, 5287.0994338060345, 0, 16.86972620133433, -179.30262166745575]"
"[3352.312195095924, -594.6910782676064, 5348.480992344962, 0, 17.872978165243392, -179.20956954695356]"
"[3163.062571002222, -591.7601211368499, 5413.102887014572, 0, 18.85107727898303, -179.1127166045496]"
"[2974.920440735727, -588.5127125506145, 5480.8671339022885, 0, 19.80507357351197, -179.01115007033124]"
"[2787.910387924397, -584.9341979822948, 5551.67980495054, 0, 20.736050509718776, -178.90375539296477]"
"[2602.0546704197204, -581.0058428269748, 5625.451210634555, 0, 21.64514452706109, -178.7891431883352]"
"[2417.3737453092244, -576.7037181535179, 5702.096155827472, 0, 22.533573213404416, -178.66554158586965]"
"[2233.8868863620382, -571.9971097549145, 5781.534310583719, 0, 23.402677238640504, -178.53063223561534]"
"[2051.612957984941, -566.8461710366759, 5863.6907641604275, 0, 24.253985123400724, -178.38129057986845]"
"[1870.571458643398, -561.198319812696, 5948.496880052608, 0, 25.089317669466663, -178.21315486383654]"
"[1690.7840457894838, -554.9824264408255, 6035.891667362182, 0, 25.910965190653272, -178.01986886331406]"
"[1512.2769721245468, -548.0988289513815, 6125.824090531938, 0, 26.72200772174081, -177.79165186796874]"
"[1335.085393523367, -540.4006877833606, 6218.257218226391, 0, 27.52694072119957, -177.51233207547295]"
"[1159.2619889578796, -531.6549065726805, 6313.176350744635, 0, 28.333026926401388, -177.15234905082553]"
"[984.89731750553, -521.4449002202942, 6410.606926641519, 0, 29.15361975764793, -176.6488449402677]"
"[812.1815428652903, -508.84893533496376, 6510.659926891533, 0, 30.01753389082349, -175.82886843293778]"
"[641.6848742149957, -490.5453856742787, 6613.596150102658, 0, 30.976142722396904, -173.87251969712773]"
"[472.19869040213416, -446.9624773945904, 6710.420545801455, 0, 28.954962834119296, -165.57899009352985]"
"[307.89113170930534, -394.2963809506016, 6811.5605895119215, 0, 30.377845468352444, -162.22759852321894]"
"[150.14205943820278, -330.37615798330455, 6916.581707833036, 0, 31.67535190006372, -157.94211555047937]"
