x,y,z,roll,pitch,yaw
"[-4233.357601716875, 648.6905372566906, 10303.874105085195, 0, -2.618114661543641, -0.10722695394761671]"
"[-4034.156314202396, 649.422999378629, 10286.032845269425, 0, -5.117947713972403, -0.21067534065734317]"
"[-3835.872733337465, 650.4981174131372, 10259.908801160747, 0, -7.505433947901484, -0.3106617397780817]"
"[-3638.7879350743488, 651.8996679483766, 10225.914420012034, 0, -9.78618560188318, -0.4074468325079704]"
"[-3443.1409083609406, 653.611307418144, 10184.449842014319, 0, -11.965512723709063, -0.5012456228052683]"
"[-3249.1331046564374, 655.6167329603234, 10135.901408773381, 0, -14.048441935960149, -0.5922355973334159]"
"[-3056.9326012169317, 657.8998114937343, 10080.640626748414, 0, -16.039733768068157, -0.680563317447829]"
"[-2866.677893692849, 660.4446822359122, 10019.02350333429, 0, -17.943898697011647, -0.7663498033745189]"
"[-2678.481337401581, 663.235837077605, 9951.390185696033, 0, -19.76521202147054, -0.8496949765544154]"
"[-2492.4322589590324, 666.2581825438785, 9878.064843292736, 0, -21.507727679374696, -0.9306813586358474]"
"[-2308.5997611412618, 669.4970864880522, 9799.355744407538, 0, -23.17529110594669, -1.0093771766527144]"
"[-2127.035244193439, 672.9384121679783, 9715.555485081755, 0, -24.77155121825102, -1.0858389880540698]"
"[-1947.7746665370805, 676.5685419317139, 9626.941335781505, 0, -26.29997160266512, -1.1601139127153062]"
"[-1770.8405671267703, 680.3743923806944, 9533.77567704277, 0, -27.763840973364385, -1.232241539274511]"
"[-1596.2438707126264, 684.3434225739737, 9436.306500373465, 0, -29.16628296268076, -1.3022555582841664]"
"[-1423.9854960806151, 688.4636365791387, 9334.767954955041, 0, -30.510265297897128, -1.3701851634577247]"
"[-1254.0577860497729, 692.7235814574217, 9229.380924285666, 0, -31.798608413546578, -1.4360562537941495]"
"[-1086.4457766634505, 697.1123415865479, 9120.353619934836, 0, -33.033993543485536, -1.499892462905198]"
"[-921.1283216649662, 701.6195300699846, 9007.882182117055, 0, -34.21897033280874, -1.561716036952125]"
"[-758.0790870281762, 706.2352778512147, 8892.151278911484, 0, -35.35596400599211, -1.621548578849856]"
"[-597.2674290425239, 710.9502210427385, 8773.334697717586, 0, -36.447282124419836, -1.67941167353859]"
"[-438.6591682447587, 715.7554868885268, 8651.595923997545, 0, -37.495120963616834, -1.7353274069433515]"
"[-282.2172703548127, 720.6426787028673, 8527.088703561292, 0, -38.50157153801911, -1.7893187895789195]"
"[-127.90244431613138, 725.6038600656045, 8399.957585639135, 0, -39.46862529893263, -1.8414100944855387]"
"[24.326333437160002, 730.6315385016495, 8270.338444794572, 0, -40.398179529421284, -1.8916271182027502]"
"[174.51136026301575, 735.7186488295994, 8138.358980385035, 0, -41.292042458199205, -1.9399973727289437]"
"[322.69580674336805, 740.8585363288663, 8004.139192805831, 0, -42.1519381131594, -1.986550215814018]"
"[468.92336761329227, 746.0449398456113, 7867.79183617361, 0, -42.9795109339311, -2.0313169264461863]"
"[613.2379582147897, 751.2719749339261, 7729.422847438028, 0, -43.776330161808986, -2.074330731986314]"
"[755.6834511162781, 756.5341171091864, 7589.131752169014, 0, -44.54389402452987, -2.1156267930474817]"
"[896.303448091527, 761.8261852745349, 7447.012047464796, 0, -45.283633732680535, -2.1552421518938196]"
"[1035.1410831476946, 767.143325368377, 7303.151562573243, 0, -45.99691730400452, -2.1932156498265756]"
"[1172.238852735552, 772.4809942700288, 7157.632797925067, 0, -46.68505323153899, -2.2295878187270386]"
"[1307.6384696699383, 777.834943991776, 7010.533243349269, 0, -47.34929401136543, -2.2644007516289855]"
"[1441.3807376387049, 783.2012061781796, 6861.925676285146, 0, -47.990839545813984, -2.2976979568944818]"
"[1573.50544348724, 788.57607692717, 6711.878440826209, 0, -48.61084043824403, -2.3295242002652077]"
"[1704.0512647361388, 793.95610194201, 6560.4557084334465, 0, -49.21040119606377, -2.3599253387579138]"
"[1833.0556900242382, 799.3380620183481, 6407.717721142059, 0, -49.790583359490284, -2.3889481500696625]"
"[1960.5549503702061, 804.7189588660973, 6253.721018059347, 0, -50.35240857474539, -2.4166401608597834]"
"[2086.583959314726, 810.0960012615953, 6098.518645914012, 0, -50.89686163200301, -2.443049476985706]"
"[2211.1762601430996, 815.4665915212294, 5942.160354370023, 0, -51.424893490547674, -2.468224618494506]"
"[2334.363978495158, 820.828312283306, 5784.6927767621755, 0, -51.93742431639553, -2.492214361917546]"
"[2456.177778745331, 826.1789135802206, 5626.1595968458805, 0, -52.435346561234475, -2.5150675921892813]"
"[2576.646822579281, 831.5163001777674, 5466.601702080243, 0, -52.91952811617722, -2.536833166321713]"
"[2695.798728202185, 836.8385191525118, 5306.057323880272, 0, -53.39081557977946, -2.557559790823126]"
"[2813.659528583711, 842.1437476712863, 5144.562165179493, 0, -53.85003768744404, -2.5772959147662164]"
"[2930.2536270701908, 847.4302809287523, 4982.14951553593, 0, -54.29800895923418, -2.596089640402171]"
"[3045.603748567311, 852.6965201892082, 4818.850353888813, 0, -54.73553363596709, -2.6139886533046153]"
"[3159.7308843052942, 857.9409608669054, 4654.693438925653, 0, -55.16340999023161, -2.6310401742387257]"
"[3272.6542279270516, 863.1621805643726, 4489.705386842621, 0, -55.58243512102679, -2.6472909353253784]"
"[3384.3911002658815, 868.3588269697349, 4323.910736066205, 0, -55.99341036995444, -2.6627871836637502]"
"[3494.956859671876, 873.5296054904726, 4157.331998237918, 0, -56.3971475360171, -2.6775747164690595]"
"[3604.3647940615006, 878.673266470783, 3989.989694428286, 0, -56.79447611895132, -2.691698953094532]"
"[3712.6259899407037, 883.7885918002162, 3821.9023751160344, 0, -57.186251893313205, -2.7052050512176344]"
"[3819.7491723990756, 888.874380669126, 3653.0866219068885, 0, -57.573367215580284, -2.7181380772548818]"
"[3925.74050836092, 893.9294341567148, 3483.5570282211224, 0, -57.956763606885474, -2.7305432451559573]"
"[4030.6033630161955, 898.9525382428, 3313.3261551725273, 0, -58.337447353830825, -2.7424662437998775]"
"[4134.337996050522, 903.9424447041242, 3142.4044574781124, 0, -58.71650915901711, -2.753953682387676]"
"[4236.941179604637, 908.8978491738172, 2970.800172301132, 0, -59.09514929899235, -2.765053697360703]"
"[4338.405713123709, 913.8173653835432, 2798.519161165199, 0, -59.474710387614884, -2.775816786675339]"
"[4438.71980028895, 918.6994942328308, 2625.564691046317, 0, -59.8567208264591, -2.786296973421613]"
"[4537.866238218195, 923.5425857765289, 2451.9371347361453, 0, -60.24295357254292, -2.796553461248527]"
"[4635.82134595612, 928.3447913869743, 2277.6335613667893, 0, -60.63550736010408, -2.8066530489012593]"
"[4732.553522469652, 933.1040020612713, 2102.647173494154, 0, -61.03692169843895, -2.816673760637057]"
"[4828.021263930927, 937.8177668139931, 1926.9665235575735, 0, -61.45034420995109, -2.8267105087001383]"
"[4922.1703669826165, 942.4831818147982, 1750.5744027090714, 0, -61.87978192935224, -2.8368843262792023]"
"[5014.92986080305, 947.0967355185189, 1573.446224746332, 0, -62.330492878296155, -2.8473582652441305]"
"[5106.205864961439, 951.6540860314027, 1395.5475973733799, 0, -62.80962364381676, -2.8583667051478145]"
